Team,"Player
Ratings",Level,Region,Category,Arm,Batting_Pos,Bowling_Style,"Matches
 Played",Runs,Wickets,Strike Rate,Players,Price(RS),Age,Birth_Date,Country
PBK,7,Capped,Overseas,Bowler,Left,Tailender,Seamer,6,20,6,102,Nathan Ellis,7.50M,29,1994-11-25,Australia
PBK,8,Uncapped,Domestic,Wicket_Keeper,Right,Middle,Can't Bowl,5,50,0,100,Prabhsimaran Singh,6.00M,28,1995-04-27,India
PBK,7,Capped,Domestic,All_Rounder,Right,Tailender,Spinner,26,153,20,113,Rishi Dhawan,5.50M,26,1997-12-25,India
PBK,8.5,Capped,Domestic,Bowler,Right,Tailender,Seamer,99,50,112,132,Sandeep Sharma,5.00M,33,1990-04-29,India
PBK,8,Uncapped,Domestic,Batter,Left,Tailender,Can't Bowl,18,320,0,136,Bhanuka Rajapaksa,5.00M,33,1990-07-02,Sri Lanka
PBK,8,Uncapped,Overseas,All_Rounder,Right,Middle,Seamer,20,400,10,137,Benny Howell,4.00M,31,1992-12-16,England
PBK,7.5,Uncapped,Domestic,Bowler,Left,Tailender,Seamer,1,5,1,117,Ishan Poral,2.50M,28,1995-10-07,India
PBK,7,Uncapped,Domestic,Wicket_Keeper,Right,Tailender,Can't Bowl,0,0,0,100,Jitesh Sharma,2.00M,30,1993-04-04,India
PBK,7,Uncapped,Domestic,All_Rounder,Right,Middle,Spinner,0,0,0,100,Prerak Mankad,2.00M,29,1994-11-12,India
PBK,7,Uncapped,Domestic,All_Rounder,Right,Middle,Seamer,0,0,0,100,Atharva Taide,2.00M,24,1999-06-06,India
PBK,7,Uncapped,Domestic,All_Rounder,Right,Middle,Spinner,0,0,0,100,Writtick Chatterjee,2.00M,25,1998-11-27,India
PBK,7,Uncapped,Domestic,Bowler,Right,Tailender,Seamer,0,0,0,100,Baltej Dhanda,2.00M,28,1995-05-21,India
PBK,7,Uncapped,Domestic,Bowler,Right,Tailender,Seamer,0,0,0,100,Ansh Patel,2.00M,31,1993-01-06,India
RCB,10,Capped,Domestic,Batter,Right,Opener,Can't Bowl,207,6283,4,130,Virat Kohli,150.00M,36,1987-08-29,India
RCB,10,Capped,Overseas,All_Rounder,Right,Middle,Spinner,97,2018,34,164.2,Glenn Maxwell,110.00M,34,1989-08-25,Australia
RCB,10,Capped,Domestic,All_Rounder,Right,Tailender,Seamer,63,201,78,158,Harshal Patel,107.50M,32,1992-01-21,India
RCB,10,Capped,Overseas,All_Rounder,Left,Middle,Spinner,35,345,57,120,Wanindu Hasranga,107.50M,29,1994-08-04,Sri Lanka
RCB,8.5,Capped,Overseas,Bowler,Right,Tailender,Seamer,27,50,40,161,Josh Hazzelwood,77.50M,32,1991-04-24,Australia
RCB,8.5,Capped,Domestic,Bowler,Right,Tailender,Seamer,50,60,50,112,Md Siraj,70.00M,31,1993-02-24,India
RCB,10,Capped,Overseas,Batter,Right,Opener,Can't Bowl,100,2935,0,131,Faf Duplesis,70.00M,38,1986-01-31,South Africa
RCB,9,Capped,Domestic,Wicket_Keeper,Right,Middle,Can't Bowl,213,4026,0,129,Dinesh Kartik,55.00M,39,1984-12-01,India
RCB,7,Uncapped,Domestic,Wicket_Keeper,Right,Middle,Can't Bowl,2,1,0,103,Anuj Rawat,34.00M,22,2001-03-19,India
RCB,7,Uncapped,Domestic,All_Rounder,Left,Tailender,Spinner,13,10,9,102,Shahbaz Ahmed,24.00M,28,1995-08-02,India
RCB,7,Capped,Overseas,All_Rounder,Right,Middle,Seamer,35,182,40,132,David Willey,20.00M,33,1991-01-05,England
RCB,8.5,Capped,Overseas,All_Rounder,Right,Tailender,Seamer,13,120,5,135,Sherfane Rutherford,10.00M,25,1998-09-17,West Indies
RCB,7,Uncapped,Domestic,All_Rounder,Right,Middle,Spinner,11,181,2,119,Mahipal Lomror,9.50M,34,1989-10-04,India
RCB,8,Capped,Overseas,Batter,Right,Middle,Can't Bowl,6,156,0,158,Finn Allen,8.00M,34,1989-07-21,West Indies
RCB,8.5,Capped,Overseas,Bowler,Left,Tailender,Seamer,14,5,12,100,Jason Behrendorff,7.50M,35,1988-12-11,Australia
RCB,8,Capped,Domestic,Bowler,Right,Tailender,Seamer,57,50,62,100,Siddharth Kaul,7.50M,35,1988-05-21,India
RCB,8,Capped,Domestic,Bowler,Right,Tailender,Spinner,68,317,59,121,Karn Sharma,5.00M,39,1984-11-27,India
RCB,7,Uncapped,Domestic,All_Rounder,Right,Middle,Spinner,0,0,0,100,Suyash Prabhudessai,3.00M,31,1992-10-30,India
RCB,7,Uncapped,Domestic,Bowler,Left,Tailender,Seamer,0,0,0,100,Chama Milind,2.50M,32,1991-06-28,India
RCB,7,Uncapped,Domestic,Bowler,Right,Tailender,Spinner,0,0,0,100,Akashdeep,2.00M,24,2000-03-06,India
RCB,8,Uncapped,Domestic,Wicket_Keeper,Left,Middle,Can't Bowl,0,0,0,100,Luvnith Sisodia,2.00M,22,2001-07-19,India
RCB,7,Uncapped,Domestic,Bowler,Right,Tailender,Seamer,0,0,0,100,Aneeshwar Gautam,2.00M,21,2002-09-10,India
RR,9,Capped,Domestic,Wicket_Keeper,Right,Middle,Can't Bowl,121,3068,0,134,Sanju Samson,140.00M,32,1991-08-29,India
RR,9.5,Capped,Overseas,Wicket_Keeper,Right,Middle,Can't Bowl,65,1968,0,163,Jos Buttler,100.00M,33,1990-12-23,England
RR,9,Capped,Domestic,Bowler,Right,Tailender,Seamer,34,50,30,100,Prasidh Krishna,100.00M,26,1998-01-23,India
RR,8,Capped,Overseas,Batter,Left,Middle,Can't Bowl,31,517,0,152,S Hetmyer,85.00M,26,1997-09-17,West Indies
